Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Balance After,Strategy,Status
2026-01-08T11:35:19.939Z,1/8/2026,11:35:19 AM,paper_1767872119939_mfam0quea,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.3600,0.1548,0.37,9893.17,inventory-rebalancing,filled
2026-01-08T11:35:19.970Z,1/8/2026,11:35:19 AM,paper_1767872119970_s9376wzcl,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Down,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,59322254720850516190176241147196956449915265342761098364917013897779535071117,1.0800,0.8463,0.91,9892.25,inventory-rebalancing,filled
2026-01-08T11:35:21.000Z,1/8/2026,11:35:21 AM,paper_1767872121000_rnc74ykh9,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.3600,0.1548,0.37,9891.89,inventory-rebalancing,filled
2026-01-08T11:35:21.030Z,1/8/2026,11:35:21 AM,paper_1767872121030_7q3co5aho,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Down,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,59322254720850516190176241147196956449915265342761098364917013897779535071117,0.9700,0.8434,0.82,9891.07,inventory-rebalancing,filled
2026-01-08T11:35:22.064Z,1/8/2026,11:35:22 AM,paper_1767872122064_6wmp8bffd,BUY,"Bitcoin Up or Down - January 8, 6AM ET",Up,0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,78066264955608331453782393322827480027742257997488697759837948356955559373604,2.2200,0.1351,0.30,9890.77,inventory-rebalancing,filled
2026-01-08T11:35:24.104Z,1/8/2026,11:35:24 AM,paper_1767872124104_anegkmum9,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Up,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,3957328916472580780667178029148259601214040478271702240235922259557882788921,9.1800,0.3455,3.17,9887.60,inventory-rebalancing,filled
2026-01-08T11:35:24.133Z,1/8/2026,11:35:24 AM,paper_1767872124133_ymf90blen,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Down,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,69016071696538226497246834630419643227585726091823237582729651699958866862133,23.6600,0.6541,15.48,9872.12,inventory-rebalancing,filled
2026-01-08T11:35:25.169Z,1/8/2026,11:35:25 AM,paper_1767872125169_olk0xlgj9,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Up,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,3957328916472580780667178029148259601214040478271702240235922259557882788921,8.1300,0.3246,2.64,9869.48,inventory-rebalancing,filled
2026-01-08T11:35:25.234Z,1/8/2026,11:35:25 AM,paper_1767872125234_0v5ggdq26,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Down,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,69016071696538226497246834630419643227585726091823237582729651699958866862133,12.4600,0.6741,8.40,9861.08,inventory-rebalancing,filled
2026-01-08T11:35:25.265Z,1/8/2026,11:35:25 AM,paper_1767872125265_5jidubb25,BUY,"Bitcoin Up or Down - January 8, 6AM ET",Up,0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,78066264955608331453782393322827480027742257997488697759837948356955559373604,2.2200,0.1351,0.30,9860.78,inventory-rebalancing,filled
