Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Fees,Balance After,Strategy,Status
2026-01-08T09:37:59.193Z,1/8/2026,9:37:59 AM,paper_1767865079193_oj4dek2x0,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2248,0.83,0.0008,9905.81,inventory-rebalancing,filled
2026-01-08T09:38:00.224Z,1/8/2026,9:38:00 AM,paper_1767865080224_kn6atieqc,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,2.2200,0.7735,1.72,0.0017,9904.09,inventory-rebalancing,filled
2026-01-08T09:38:00.273Z,1/8/2026,9:38:00 AM,paper_1767865080273_4lj73reiv,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2249,0.83,0.0008,9903.26,inventory-rebalancing,filled
2026-01-08T09:38:00.311Z,1/8/2026,9:38:00 AM,paper_1767865080311_zz8wstqfj,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Up,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,99073299906610559393868830935772287279324248447052575948194928745976970597921,3.3400,0.2247,0.75,0.0008,9902.51,inventory-rebalancing,filled
2026-01-08T09:38:00.344Z,1/8/2026,9:38:00 AM,paper_1767865080344_lb6ka81b0,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Down,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,29546296015379717948610288006518731190762336992222749401036166484690541762873,0.4900,0.7760,0.38,0.0004,9902.12,inventory-rebalancing,filled
2026-01-08T09:38:01.375Z,1/8/2026,9:38:01 AM,paper_1767865081375_6txs6srby,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,2.2500,0.7751,1.74,0.0017,9900.38,inventory-rebalancing,filled
2026-01-08T09:38:01.405Z,1/8/2026,9:38:01 AM,paper_1767865081405_ff7tccnfn,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2249,0.83,0.0008,9899.55,inventory-rebalancing,filled
2026-01-08T09:38:02.437Z,1/8/2026,9:38:02 AM,paper_1767865082437_wf0knb8js,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,2.2600,0.7755,1.75,0.0018,9897.79,inventory-rebalancing,filled
2026-01-08T09:38:02.480Z,1/8/2026,9:38:02 AM,paper_1767865082480_pzjhweenk,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2250,0.83,0.0008,9896.96,inventory-rebalancing,filled
2026-01-08T09:38:03.515Z,1/8/2026,9:38:03 AM,paper_1767865083515_9kmcfhpm3,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,2.2600,0.7756,1.75,0.0018,9895.20,inventory-rebalancing,filled
2026-01-08T09:38:03.543Z,1/8/2026,9:38:03 AM,paper_1767865083543_qwl4o43t3,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2254,0.83,0.0008,9894.37,inventory-rebalancing,filled
2026-01-08T09:38:03.569Z,1/8/2026,9:38:03 AM,paper_1767865083569_5rc8rg384,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Up,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,99073299906610559393868830935772287279324248447052575948194928745976970597921,3.3400,0.2246,0.75,0.0008,9893.62,inventory-rebalancing,filled
2026-01-08T09:38:03.593Z,1/8/2026,9:38:03 AM,paper_1767865083593_ypetgmole,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Down,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,29546296015379717948610288006518731190762336992222749401036166484690541762873,2.1500,0.7746,1.67,0.0017,9891.95,inventory-rebalancing,filled
2026-01-08T09:38:04.619Z,1/8/2026,9:38:04 AM,paper_1767865084619_d4hkfwes4,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,2.2700,0.7743,1.76,0.0018,9890.19,inventory-rebalancing,filled
2026-01-08T09:38:04.645Z,1/8/2026,9:38:04 AM,paper_1767865084645_bpxy80tad,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2251,0.83,0.0008,9889.36,inventory-rebalancing,filled
